"";"aluno";"ano.defesa";"programa";"titul";"titul.2";"prazo.dep";"tempo.dep";"tempo.def";"avaliador";"estrato";"estrato.n";"impacto";"impacto.n";"nota.tese";"redacao";"contextualiz";"objetivos";"hip.claras";"originalidade";"metodos";"analises";"resultados";"discussao";"literatura"
"727";135;2013;"Zoo";"Mestrado";"Mestrado";26;26.2333333333333;28.3333333333333;"Interno";"50%";5;"medio";3;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE
"688";141;2013;"Zoo";"Mestrado";"Mestrado";26;24.0666666666667;26.1333333333333;"Orientador";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"689";141;2013;"Zoo";"Mestrado";"Mestrado";26;24.0666666666667;26.1333333333333;"Externo";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"690";141;2013;"Zoo";"Mestrado";"Mestrado";26;24.0666666666667;26.1333333333333;"Externo";"10%";2;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"478";145;2013;"Zoo";"Mestrado";"Mestrado";26;28.3333333333333;30.4;"Interno";"<50%";4;"medio";3;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
"713";157;2013;"Zoo";"Mestrado";"Mestrado";26;26.4666666666667;28;"Externo";NA;NA;"alto";4;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
"714";157;2013;"Zoo";"Mestrado";"Mestrado";26;26.4666666666667;28;"Orientador";"25%";3;"medio";3;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
"751";166;2013;"Zoo";"Mestrado";"Mestrado";26;25.2333333333333;26.1666666666667;"Externo";"50%";5;"alto";4;7;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"752";166;2013;"Zoo";"Mestrado";"Mestrado";26;25.2333333333333;26.1666666666667;"Orientador";"50%";5;"medio";3;5;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE
"753";166;2013;"Zoo";"Mestrado";"Mestrado";26;25.2333333333333;26.1666666666667;"Interno";"50%";5;"alto";4;9;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE
"775";179;2013;"Zoo";"Mestrado";"Mestrado";26;28.9;30.6333333333333;"Orientador";"10%";2;"alto";4;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"776";179;2013;"Zoo";"Mestrado";"Mestrado";26;28.9;30.6333333333333;"Externo";"25%";3;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
"777";179;2013;"Zoo";"Mestrado";"Mestrado";26;28.9;30.6333333333333;"Interno";NA;NA;"medio";3;10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE
